Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
Rivi Flinders,54WMR57355,RDS,9,Year 2 Sem 1,,Absent
Carleen Steuhlmeyer,54WMR05998,RDS,7,Year 2 Sem 3,,Absent
Jasmina Dybbe,48WMR95850,RDS,2,Year 3 Sem 2,,Absent
Lettie Veronique,96WMR27968,RDS,1,Year 2 Sem 3,,Absent
Leisha Fellini,43WMR87910,RDS,4,Year 1 Sem 2,,Absent
Torey Morch,98WMR36796,RDS,2,Year 3 Sem 3,,Absent
Corliss Challace,89WMR32007,RDS,9,Year 2 Sem 2,,Absent
Sam Deyes,71WMR65954,RDS,8,Year 1 Sem 3,,Absent
Hailee Pieterick,03WMR78903,RDS,10,Year 1 Sem 3,,Absent
Suzanne Colloby,14WMR21930,RDS,4,Year 2 Sem 2,,Absent
Ursuline Madrell,45WMR46800,RDS,7,Year 2 Sem 2,,Absent
Jacki Mauvin,59WMR26866,RDS,0,Year 1 Sem 1,,Absent
Nikki Taunton.,68WMR95240,RDS,8,Year 2 Sem 2,,Absent
Isidro Maffioni,89WMR80747,RDS,7,Year 2 Sem 1,,Absent
Benoit Mathwin,71WMR62311,RDS,4,Year 3 Sem 3,,Absent
Tybi Roxby,67WMR27985,RDS,0,Year 1 Sem 1,,Absent
Odell Leonardi,32WMR00570,RDS,2,Year 3 Sem 3,,Absent
Dan Arkle,04WMR36987,RDS,2,Year 1 Sem 3,,Absent
Tito Bielefeld,65WMR52769,RDS,11,Year 2 Sem 1,,Absent
Imogene Edeler,64WMR42997,RDS,0,Year 1 Sem 3,,Absent
Quintin Klees,77WMR56341,RDS,7,Year 3 Sem 1,,Absent
Kimball Jaray,34WMR24450,RDS,8,Year 3 Sem 3,,Absent
Joanie Deguara,61WMR04822,RDS,6,Year 1 Sem 2,,Absent
Lance Sinnott,59WMR85301,RDS,5,Year 2 Sem 3,,Absent
Nigel Southerill,65WMR72806,RDS,4,Year 2 Sem 2,,Absent
Gussy Roll,31WMR25200,RDS,7,Year 2 Sem 2,,Absent
Pyotr Forsey,42WMR69952,RDS,11,Year 2 Sem 3,,Absent
Glory Boycott,06WMR64912,RDS,9,Year 3 Sem 3,,Absent
Jessey Ianne,31WMR51091,RDS,7,Year 1 Sem 1,,Absent
Alena Strippel,22WMR74990,RDS,9,Year 1 Sem 1,,Absent
Beryl Benois,30WMR03982,RDS,7,Year 3 Sem 1,,Absent
Izaak Beazleigh,73WMR87758,RDS,4,Year 1 Sem 3,,Absent
Welby Phettis,88WMR19133,RDS,8,Year 3 Sem 3,,Absent
Thekla Guidelli,78WMR27944,RDS,6,Year 2 Sem 1,,Absent
Jeannine Thaxton,46WMR91106,RDS,7,Year 2 Sem 2,,Absent
Boycie Sitlington,26WMR94982,RDS,11,Year 1 Sem 1,,Absent
Dorie Grayshon,78WMR64049,RDS,10,Year 2 Sem 1,,Absent
Ronnie Sibly,77WMR57441,RDS,5,Year 2 Sem 3,,Absent
