No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
2,Rivi Flinders,54WMR57355,RDS,9,Year 2 Sem 1,,Absent
7,Carleen Steuhlmeyer,54WMR05998,RDS,7,Year 2 Sem 3,,Absent
11,Jasmina Dybbe,48WMR95850,RDS,2,Year 3 Sem 2,,Absent
12,Lettie Veronique,96WMR27968,RDS,1,Year 2 Sem 3,,Absent
20,Leisha Fellini,43WMR87910,RDS,4,Year 1 Sem 2,,Absent
23,Torey Morch,98WMR36796,RDS,2,Year 3 Sem 3,,Absent
27,Corliss Challace,89WMR32007,RDS,9,Year 2 Sem 2,,Absent
28,Sam Deyes,71WMR65954,RDS,8,Year 1 Sem 3,,Absent
29,Hailee Pieterick,03WMR78903,RDS,10,Year 1 Sem 3,,Absent
31,Suzanne Colloby,14WMR21930,RDS,4,Year 2 Sem 2,,Absent
44,Ursuline Madrell,45WMR46800,RDS,7,Year 2 Sem 2,,Absent
46,Jacki Mauvin,59WMR26866,RDS,0,Year 1 Sem 1,,Absent
48,Nikki Taunton.,68WMR95240,RDS,8,Year 2 Sem 2,,Absent
49,Isidro Maffioni,89WMR80747,RDS,7,Year 2 Sem 1,,Absent
50,Benoit Mathwin,71WMR62311,RDS,4,Year 3 Sem 3,,Absent
51,Tybi Roxby,67WMR27985,RDS,0,Year 1 Sem 1,,Absent
55,Odell Leonardi,32WMR00570,RDS,2,Year 3 Sem 3,,Absent
58,Dan Arkle,04WMR36987,RDS,2,Year 1 Sem 3,,Absent
60,Tito Bielefeld,65WMR52769,RDS,11,Year 2 Sem 1,,Absent
64,Imogene Edeler,64WMR42997,RDS,0,Year 1 Sem 3,,Absent
70,Quintin Klees,77WMR56341,RDS,7,Year 3 Sem 1,,Absent
78,Kimball Jaray,34WMR24450,RDS,8,Year 3 Sem 3,,Absent
95,Joanie Deguara,61WMR04822,RDS,6,Year 1 Sem 2,,Absent
100,Lance Sinnott,59WMR85301,RDS,5,Year 2 Sem 3,,Absent
105,Nigel Southerill,65WMR72806,RDS,4,Year 2 Sem 2,,Absent
110,Gussy Roll,31WMR25200,RDS,7,Year 2 Sem 2,,Absent
112,Pyotr Forsey,42WMR69952,RDS,11,Year 2 Sem 3,,Absent
118,Glory Boycott,06WMR64912,RDS,9,Year 3 Sem 3,,Absent
119,Jessey Ianne,31WMR51091,RDS,7,Year 1 Sem 1,,Absent
125,Alena Strippel,22WMR74990,RDS,9,Year 1 Sem 1,,Absent
126,Beryl Benois,30WMR03982,RDS,7,Year 3 Sem 1,,Absent
127,Izaak Beazleigh,73WMR87758,RDS,4,Year 1 Sem 3,,Absent
128,Welby Phettis,88WMR19133,RDS,8,Year 3 Sem 3,,Absent
130,Thekla Guidelli,78WMR27944,RDS,6,Year 2 Sem 1,,Absent
131,Jeannine Thaxton,46WMR91106,RDS,7,Year 2 Sem 2,,Absent
138,Boycie Sitlington,26WMR94982,RDS,11,Year 1 Sem 1,,Absent
144,Dorie Grayshon,78WMR64049,RDS,10,Year 2 Sem 1,,Absent
146,Ronnie Sibly,77WMR57441,RDS,5,Year 2 Sem 3,,Absent
147,Bridget Beincken,99WMR45193,RDS,9,Year 2 Sem 2,,Absent
148,Rutledge Cavanaugh,77WMR09541,RDS,11,Year 2 Sem 1,,Absent
158,Kristal Lipman,37WMR84910,RDS,10,Year 1 Sem 2,,Absent
159,Samara Simonutti,57WMR93539,RDS,11,Year 2 Sem 3,,Absent
161,Howard Coller,04WMR09379,RDS,6,Year 2 Sem 2,,Absent
167,Sholom Pogson,04WMR56361,RDS,3,Year 2 Sem 1,,Absent
175,Constantina Cotterel,58WMR69669,RDS,0,Year 3 Sem 1,,Absent
185,Jonas Andreix,23WMR71102,RDS,4,Year 2 Sem 2,,Absent
186,Lexy Halwill,75WMR80064,RDS,11,Year 1 Sem 3,,Absent
199,Caressa Tallet,11WMR36007,RDS,3,Year 1 Sem 1,,Absent
204,Cassondra Rumble,82WMR83931,RDS,2,Year 2 Sem 3,,Absent
205,Gearard McGlaud,29WMR25958,RDS,6,Year 3 Sem 1,,Absent
207,Jill Edwardes,38WMR79286,RDS,9,Year 2 Sem 1,,Absent
227,Minni Chewter,40WMR67311,RDS,8,Year 2 Sem 3,,Absent
230,Ulrica Flament,12WMR60694,RDS,11,Year 2 Sem 3,,Absent
234,Ramsey Redier,36WMR21469,RDS,9,Year 1 Sem 3,,Absent
236,Romola Dargue,18WMR47560,RDS,9,Year 3 Sem 3,,Absent
237,Spike Makinson,11WMR98473,RDS,2,Year 1 Sem 3,,Absent
