No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
1,Gizela Dowda,83WMR98541,REI,8,Year 1 Sem 1,,Absent
3,Ashlan Dand,84WMR24606,REI,10,Year 3 Sem 2,,Absent
8,Edythe Goodbar,84WMR52308,REI,5,Year 1 Sem 1,,Absent
9,Joanne Retchford,76WMR26140,REI,5,Year 2 Sem 1,,Absent
14,Holden Prendergast,84WMR94809,REI,2,Year 3 Sem 1,,Absent
21,Marianna Copozio,42WMR30226,REI,7,Year 1 Sem 3,,Absent
26,Ronnica Tousy,67WMR17506,REI,1,Year 2 Sem 1,,Absent
32,Barnett Burden,32WMR97217,REI,6,Year 2 Sem 1,,Absent
35,Granny Lutman,47WMR24121,REI,9,Year 1 Sem 3,,Absent
43,Friederike Swede,24WMR37754,REI,3,Year 3 Sem 3,,Absent
45,Violetta Ruffy,27WMR04831,REI,4,Year 2 Sem 1,,Absent
47,Constancy Gerram,65WMR76463,REI,5,Year 1 Sem 2,,Absent
52,Olympia Cloney,62WMR74549,REI,4,Year 1 Sem 1,,Absent
61,Jason Roon,73WMR51679,REI,5,Year 1 Sem 2,,Absent
69,Janela Dinsmore,78WMR43301,REI,4,Year 1 Sem 2,,Absent
71,Jolie Kittless,00WMR58124,REI,5,Year 3 Sem 1,,Absent
76,Teriann Tuckerman,77WMR98648,REI,7,Year 3 Sem 1,,Absent
77,Moria Denacamp,05WMR17377,REI,9,Year 3 Sem 2,,Absent
80,Symon Solman,37WMR19426,REI,4,Year 3 Sem 2,,Absent
86,Marie Mardle,78WMR80066,REI,9,Year 2 Sem 1,,Absent
88,Nissy Wyllie,52WMR06036,REI,2,Year 3 Sem 1,,Absent
89,Ulrika Postle,17WMR41240,REI,3,Year 2 Sem 3,,Absent
92,Jacques Breckenridge,30WMR49572,REI,11,Year 3 Sem 3,,Absent
98,Concettina Thaxton,45WMR80129,REI,0,Year 2 Sem 1,,Absent
101,Joya Bavage,34WMR21387,REI,2,Year 3 Sem 2,,Absent
107,Dalt Ivanchin,41WMR82927,REI,0,Year 2 Sem 2,,Absent
109,Winfred Mertsching,01WMR26445,REI,9,Year 1 Sem 1,,Absent
113,Harold Padgham,58WMR89031,REI,9,Year 3 Sem 3,,Absent
134,Gratiana Lennox,59WMR17092,REI,3,Year 3 Sem 1,,Absent
142,Lucio Vaskov,30WMR73583,REI,2,Year 2 Sem 3,,Absent
150,Cynthie Riggoll,02WMR56400,REI,11,Year 3 Sem 2,,Absent
155,Cris Jedras,54WMR88151,REI,9,Year 1 Sem 2,,Absent
160,Lynnet Beekmann,84WMR70970,REI,6,Year 3 Sem 3,,Absent
169,Justine Riccardelli,01WMR82585,REI,10,Year 3 Sem 2,,Absent
170,Glynnis Kipping,09WMR63195,REI,3,Year 3 Sem 2,,Absent
171,Evelyn Grisley,28WMR95951,REI,2,Year 3 Sem 2,,Absent
176,Izak Domenici,16WMR85922,REI,5,Year 2 Sem 3,,Absent
180,Emmott Martschik,29WMR82404,REI,5,Year 3 Sem 1,,Absent
184,Ardisj Eustes,57WMR48286,REI,8,Year 3 Sem 3,,Absent
190,Freedman Trevorrow,50WMR63871,REI,0,Year 1 Sem 3,,Absent
195,Amos Liffe,16WMR63934,REI,2,Year 3 Sem 2,,Absent
210,Denny Charlet,28WMR01005,REI,10,Year 1 Sem 3,,Absent
212,Denise Treadway,80WMR52610,REI,0,Year 1 Sem 2,,Absent
214,Morissa Yeskin,32WMR84888,REI,11,Year 2 Sem 3,,Absent
215,Worthy Velasquez,78WMR69635,REI,0,Year 1 Sem 3,,Absent
219,Lazare Minucci,63WMR38902,REI,4,Year 1 Sem 1,,Absent
222,Alyson Chatan,32WMR51313,REI,2,Year 2 Sem 2,,Absent
223,Shel Aingel,42WMR34100,REI,0,Year 2 Sem 2,,Absent
224,Angus Buxsey,31WMR45047,REI,4,Year 3 Sem 3,,Absent
226,Mehetabel Cundy,16WMR37235,REI,9,Year 1 Sem 1,,Absent
228,Adan Witt,88WMR31140,REI,5,Year 3 Sem 1,,Absent
232,Dody Figg,82WMR24420,REI,10,Year 1 Sem 1,,Absent
245,Gerrard Tolworthie,40WMR70941,REI,8,Year 3 Sem 3,,Absent
251,Barney Caramuscia,15WMR72139,REI,3,Year 1 Sem 3,,Absent
252,Winny Feldberg,93WMR41304,REI,6,Year 3 Sem 3,,Absent
253,Ricca Fuller,33WMR12471,REI,10,Year 2 Sem 2,,Absent
264,Randa Ivons,44WMR61532,REI,4,Year 1 Sem 3,,Absent
274,Griselda Armitage,55WMR38717,REI,10,Year 1 Sem 1,,Absent
275,Gabriell Letts,82WMR75807,REI,6,Year 1 Sem 3,,Absent
284,Dolley Maudson,03WMR39855,REI,4,Year 3 Sem 2,,Absent
285,Padraic Le Batteur,14WMR79386,REI,3,Year 2 Sem 2,,Absent
286,Alexandr Dunbavin,22WMR18622,REI,5,Year 3 Sem 1,,Absent
290,Davida Sang,60WMR62268,REI,9,Year 1 Sem 2,,Absent
292,Tessie Goold,59WMR62268,REI,3,Year 1 Sem 2,,Absent
295,Lil Botly,14WMR94897,REI,7,Year 1 Sem 2,,Absent
297,Deeann Gaffey,89WMR71406,REI,11,Year 1 Sem 1,,Absent
300,Rodolphe Mulcaster,93WMR61550,REI,11,Year 3 Sem 2,,Absent
303,Creigh Downage,58WMR05354,REI,1,Year 1 Sem 3,,Absent
304,Melli Geekie,27WMR61977,REI,9,Year 3 Sem 3,,Absent
305,Penelope Harriagn,68WMR39395,REI,4,Year 2 Sem 1,,Absent
307,Mickey Pottie,49WMR79120,REI,1,Year 2 Sem 3,,Absent
311,Leena McMaster,93WMR17563,REI,7,Year 3 Sem 1,,Absent
315,Wallie Manby,30WMR08250,REI,9,Year 3 Sem 3,,Absent
316,Dion Thirst,80WMR19797,REI,3,Year 3 Sem 2,,Absent
319,Aldon Dominiak,80WMR98761,REI,0,Year 2 Sem 3,,Absent
325,Dredi Hardwell,24WMR88233,REI,1,Year 1 Sem 2,,Absent
326,Abby Tschiersch,18WMR89206,REI,7,Year 2 Sem 1,,Absent
335,Tilda Chartres,73WMR55730,REI,3,Year 1 Sem 2,,Absent
336,Borden Hamil,96WMR71359,REI,9,Year 2 Sem 3,,Absent
355,Allyson Beiderbeck,53WMR89455,REI,9,Year 1 Sem 3,,Absent
365,Yorgos Duffield,09WMR24886,REI,3,Year 3 Sem 1,,Absent
370,Kandy Eynaud,29WMR22171,REI,8,Year 2 Sem 2,,Absent
371,Lora Stores,48WMR11562,REI,4,Year 3 Sem 3,,Absent
373,Jordan Wellesley,45WMR15448,REI,8,Year 2 Sem 3,,Absent
377,Graham Imm,61WMR20950,REI,3,Year 3 Sem 1,,Absent
379,Case Morrill,67WMR49188,REI,11,Year 2 Sem 1,,Absent
381,Jessamyn Bootherstone,90WMR70144,REI,5,Year 2 Sem 3,,Absent
384,Gabriela Gallier,63WMR23844,REI,7,Year 1 Sem 3,,Absent
389,Annnora Real,41WMR76958,REI,5,Year 3 Sem 3,,Absent
400,Shellie Wheelwright,17WMR79410,REI,11,Year 1 Sem 3,,Absent
404,Liliane Vanes,31WMR99544,REI,5,Year 1 Sem 3,,Absent
409,Almire Saltmarshe,98WMR57663,REI,11,Year 2 Sem 2,,Absent
412,Pam Geroldo,17WMR10005,REI,1,Year 1 Sem 1,,Absent
416,Minni Raymen,38WMR51841,REI,10,Year 3 Sem 3,,Absent
420,Denna Tales,99WMR80496,REI,5,Year 3 Sem 2,,Absent
421,Barney Harrold,36WMR32285,REI,7,Year 2 Sem 2,,Absent
422,Suzanne Fawlo,60WMR06955,REI,0,Year 3 Sem 3,,Absent
426,Herold Bartholomieu,77WMR79729,REI,1,Year 2 Sem 1,,Absent
431,Whittaker Rochell,86WMR49188,REI,3,Year 1 Sem 1,,Absent
434,Jay Bugler,52WMR71987,REI,7,Year 1 Sem 1,,Absent
443,Kerwin Bartot,90WMR08510,REI,10,Year 1 Sem 2,,Absent
448,Hazel Carnihan,57WMR79998,REI,2,Year 3 Sem 3,,Absent
