Name,Student ID,Programme,Group,Year/Sem,Status,Current Time
Mandy Hoyte,17WMR25301,RSD,3.0,Year 1 Sem 3,Absent,
Odell McMains,22WMR74069,RSD,10.0,Year 3 Sem 1,Absent,
Eli Delgaty,25WMR28458,RSD,4.0,Year 1 Sem 1,Absent,
Terencio Bourne,70WMR99823,RSD,3.0,Year 2 Sem 3,Absent,
Wallis Constantinou,59WMR47359,RSD,3.0,Year 1 Sem 2,Absent,
Annabelle Capps,53WMR08043,RSD,9.0,Year 2 Sem 3,Absent,
Steffi Radmore,75WMR28877,RSD,2.0,Year 3 Sem 1,Absent,
Bat Vettore,98WMR77405,RSD,6.0,Year 3 Sem 1,Absent,
Hugibert Ewan,47WMR99308,RSD,7.0,Year 1 Sem 3,Absent,
Addi Ellerbeck,25WMR76238,RSD,1.0,Year 2 Sem 1,Absent,
Des Foulser,99WMR40068,RSD,5.0,Year 2 Sem 2,Absent,
Gordy Strain,86WMR87814,RSD,5.0,Year 1 Sem 1,Absent,
Rycca Garroway,95WMR02716,RSD,5.0,Year 3 Sem 3,Absent,
Ewart Dowman,39WMR77268,RSD,9.0,Year 3 Sem 1,Absent,
Livvyy Insull,13WMR32097,RSD,4.0,Year 3 Sem 2,Absent,
Rutledge Noquet,14WMR56439,RSD,,Year 3 Sem 1,Absent,
Beatriz Bangiard,18WMR59775,RSD,6.0,Year 2 Sem 1,Absent,
Irma Clixby,38WMR52529,RSD,11.0,Year 1 Sem 1,Absent,
Hillary Simmance,88WMR24984,RSD,2.0,Year 2 Sem 2,Absent,
Ignatius Orridge,73WMR79261,RSD,5.0,Year 3 Sem 2,Absent,
Mason Yekel,08WMR34957,RSD,1.0,Year 3 Sem 1,Absent,
Sunny Blemings,23WMR28849,RSD,1.0,Year 1 Sem 1,Absent,
Olvan Otter,55WMR83427,RSD,7.0,Year 2 Sem 2,Absent,
Maggy Rominov,92WMR74093,RSD,1.0,Year 1 Sem 2,Absent,
Zabrina Yakovliv,83WMR11025,RSD,10.0,Year 3 Sem 3,Absent,
Cacilia Copnar,50WMR34182,RSD,8.0,Year 2 Sem 1,Absent,
Chan Pittock,90WMR65756,RSD,1.0,Year 3 Sem 3,Absent,
Kerry Cardozo,08WMR07448,RSD,9.0,Year 2 Sem 1,Absent,
Isabelle Feather,97WMR54755,RSD,8.0,Year 2 Sem 3,Absent,
Wildon Gatehouse,49WMR47849,RSD,3.0,Year 3 Sem 2,Absent,
Elnar Linne,74WMR98170,RSD,,Year 2 Sem 1,Absent,
Marylin Routley,37WMR86788,RSD,5.0,Year 3 Sem 1,Absent,
Rees Offer,40WMR82100,RSD,9.0,Year 2 Sem 3,Absent,
Justine Wraggs,78WMR34061,RSD,6.0,Year 1 Sem 3,Absent,
Kennie Borsi,92WMR80403,RSD,2.0,Year 2 Sem 2,Absent,
Dulcia Shillinglaw,30WMR54475,RSD,4.0,Year 2 Sem 2,Absent,
Mickie Waring,95WMR63552,RSD,6.0,Year 2 Sem 1,Absent,
Wendel Tole,42WMR20441,RSD,4.0,Year 3 Sem 2,Absent,
Torin Merwood,24WMR13646,RSD,2.0,Year 3 Sem 3,Absent,
Meghan Bain,66WMR26432,RSD,10.0,Year 1 Sem 1,Absent,
Matthias Yorston,90WMR12558,RSD,10.0,Year 2 Sem 3,Absent,
Mora Bohlin,15WMR22414,RSD,7.0,Year 3 Sem 3,Absent,
Zaccaria Byars,06WMR36740,RSD,6.0,Year 3 Sem 3,Absent,
Baxy Marriot,56WMR69864,RSD,8.0,Year 2 Sem 1,Absent,
Fonsie Chivrall,67WMR85277,RSD,3.0,Year 3 Sem 3,Absent,
Rowney Finnie,02WMR09083,RSD,6.0,Year 3 Sem 2,Absent,
Martguerita McCaghan,48WMR11533,RSD,9.0,Year 3 Sem 2,Absent,
Robinson Blasli,01WMR62106,RSD,4.0,Year 3 Sem 2,Absent,
Marmaduke Gitsham,32WMR47817,RSD,4.0,Year 3 Sem 2,Absent,
Layton Ades,13WMR93901,RSD,11.0,Year 1 Sem 1,Absent,
Cinderella Phipard-Shears,52WMR56596,RSD,9.0,Year 1 Sem 2,Absent,
Gerry Helliwell,16WMR81795,RSD,7.0,Year 3 Sem 2,Absent,
Roderick Lunny,60WMR57943,RSD,3.0,Year 1 Sem 1,Absent,
Grenville Vardy,41WMR29807,RSD,11.0,Year 1 Sem 1,Absent,
Vallie Sexon,94WMR37002,RSD,6.0,Year 2 Sem 1,Absent,
Guido Charnick,29WMR05202,RSD,11.0,Year 3 Sem 3,Absent,
Gail Rayne,95WMR94056,RSD,6.0,Year 2 Sem 1,Absent,
Lorri Close,60WMR88606,RSD,4.0,Year 3 Sem 1,Absent,
