Name,Student ID,Programme,Group,Year/Sem,Status,Current Time
Charla Rix,45WMR30105,RWS,4.0,Year 3 Sem 3,Absent,
Ruddy Wafer,00WMR40468,RWS,11.0,Year 3 Sem 3,Absent,
Christoph McKinstry,33WMR42912,RWS,8.0,Year 2 Sem 3,Absent,
Josefina Figin,74WMR64218,RWS,2.0,Year 2 Sem 1,Absent,
Tait Dallon,51WMR81347,RWS,2.0,Year 3 Sem 1,Absent,
Karol Orrill,21WMR33775,RWS,10.0,Year 1 Sem 3,Absent,
Maurise Kintish,56WMR47234,RWS,7.0,Year 2 Sem 2,Absent,
Meta Treece,19WMR71907,RWS,9.0,Year 3 Sem 2,Absent,
Allayne Brighty,36WMR74243,RWS,9.0,Year 3 Sem 3,Absent,
Ewan Wollacott,56WMR71943,RWS,10.0,Year 3 Sem 1,Absent,
Kelci Rowett,98WMR66282,RWS,4.0,Year 1 Sem 2,Absent,
Sloane Weathers,47WMR00914,RWS,10.0,Year 1 Sem 1,Absent,
Torrin Haylor,71WMR52902,RWS,10.0,Year 1 Sem 2,Absent,
Astrix Crackett,12WMR89295,RWS,3.0,Year 3 Sem 1,Absent,
Baxie Lineham,84WMR16544,RWS,9.0,Year 1 Sem 1,Absent,
Aubrette Goldring,29WMR85033,RWS,,Year 3 Sem 3,Absent,
Ly Gammon,12WMR49534,RWS,9.0,Year 1 Sem 2,Absent,
Jecho Semeniuk,54WMR99417,RWS,2.0,Year 1 Sem 1,Absent,
Emery Bruckenthal,10WMR21334,RWS,5.0,Year 1 Sem 3,Absent,
Athene Andriss,52WMR63152,RWS,5.0,Year 1 Sem 2,Absent,
Quinton Astle,40WMR87539,RWS,1.0,Year 3 Sem 1,Absent,
Pennie Aguirrezabal,49WMR72241,RWS,6.0,Year 1 Sem 2,Absent,
Sheff Crosier,77WMR91692,RWS,1.0,Year 3 Sem 1,Absent,
Elvis Vero,61WMR27665,RWS,2.0,Year 1 Sem 3,Absent,
Kass Immins,84WMR05641,RWS,1.0,Year 2 Sem 1,Absent,
Barb Ivers,86WMR66040,RWS,8.0,Year 2 Sem 3,Absent,
Worthington Reichelt,57WMR12153,RWS,4.0,Year 3 Sem 1,Absent,
Townsend Wasson,81WMR71638,RWS,7.0,Year 2 Sem 2,Absent,
Joyce Barnicott,08WMR92681,RWS,7.0,Year 3 Sem 3,Absent,
