No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
4,Charla Rix,45WMR30105,RWS,4,Year 3 Sem 3,,Absent
6,Ruddy Wafer,00WMR40468,RWS,11,Year 3 Sem 3,,Absent
16,Christoph McKinstry,33WMR42912,RWS,8,Year 2 Sem 3,,Absent
17,Josefina Figin,74WMR64218,RWS,2,Year 2 Sem 1,,Absent
18,Tait Dallon,51WMR81347,RWS,2,Year 3 Sem 1,,Absent
22,Karol Orrill,21WMR33775,RWS,10,Year 1 Sem 3,,Absent
30,Maurise Kintish,56WMR47234,RWS,7,Year 2 Sem 2,,Absent
33,Meta Treece,19WMR71907,RWS,9,Year 3 Sem 2,,Absent
34,Allayne Brighty,36WMR74243,RWS,9,Year 3 Sem 3,,Absent
36,Ewan Wollacott,56WMR71943,RWS,10,Year 3 Sem 1,,Absent
39,Kelci Rowett,98WMR66282,RWS,4,Year 1 Sem 2,,Absent
40,Sloane Weathers,47WMR00914,RWS,10,Year 1 Sem 1,,Absent
41,Torrin Haylor,71WMR52902,RWS,10,Year 1 Sem 2,,Absent
54,Astrix Crackett,12WMR89295,RWS,3,Year 3 Sem 1,,Absent
59,Baxie Lineham,84WMR16544,RWS,9,Year 1 Sem 1,,Absent
62,Aubrette Goldring,29WMR85033,RWS,0,Year 3 Sem 3,,Absent
66,Ly Gammon,12WMR49534,RWS,9,Year 1 Sem 2,,Absent
67,Jecho Semeniuk,54WMR99417,RWS,2,Year 1 Sem 1,,Absent
72,Emery Bruckenthal,10WMR21334,RWS,5,Year 1 Sem 3,,Absent
74,Athene Andriss,52WMR63152,RWS,5,Year 1 Sem 2,,Absent
81,Quinton Astle,40WMR87539,RWS,1,Year 3 Sem 1,,Absent
82,Pennie Aguirrezabal,49WMR72241,RWS,6,Year 1 Sem 2,,Absent
84,Sheff Crosier,77WMR91692,RWS,1,Year 3 Sem 1,,Absent
85,Elvis Vero,61WMR27665,RWS,2,Year 1 Sem 3,,Absent
87,Kass Immins,84WMR05641,RWS,1,Year 2 Sem 1,,Absent
93,Barb Ivers,86WMR66040,RWS,8,Year 2 Sem 3,,Absent
94,Worthington Reichelt,57WMR12153,RWS,4,Year 3 Sem 1,,Absent
97,Townsend Wasson,81WMR71638,RWS,7,Year 2 Sem 2,,Absent
103,Joyce Barnicott,08WMR92681,RWS,7,Year 3 Sem 3,,Absent
